feature,pearson_corr,pearson_p_value,pearson_significant,spearman_corr,spearman_p_value,spearman_significant,abs_pearson,abs_spearman,n_samples
koi_teq,-0.2950654246971891,2.0295144575163514e-191,True,-0.276652718840309,1.3817013705553307e-167,True,0.2950654246971891,0.276652718840309,9564
koi_num_transits,-0.2858671500413784,2.7478590854503115e-179,True,-0.2125557005278664,3.873601464380753e-98,True,0.2858671500413784,0.2125557005278664,9564
koi_depth,-0.26592942996844926,1.579715233880037e-154,True,-0.1751158608711154,9.939936003573285e-67,True,0.26592942996844926,0.1751158608711154,9564
koi_smet,0.25811360025158925,2.202937087583235e-145,True,0.28478129392009205,6.938564868815518e-178,True,0.25811360025158925,0.28478129392009205,9564
koi_teq_log,-0.2573357021007744,1.7222492555281212e-144,True,-0.276652718840309,1.3817013705553307e-167,True,0.2573357021007744,0.276652718840309,9564
koi_smass_err1,-0.24851608867826103,1.4061615108239418e-134,True,-0.33013165961079116,6.143244852050145e-242,True,0.24851608867826103,0.33013165961079116,9564
koi_model_snr,-0.2434552117200205,4.567538045590055e-129,True,-0.1988256789246022,7.304421020601286e-86,True,0.2434552117200205,0.1988256789246022,9564
koi_tce_plnt_num,0.215974295069353,2.4718970631539528e-101,True,0.25592251276410705,7.091035603175765e-143,True,0.215974295069353,0.25592251276410705,9564
koi_max_mult_ev,-0.2144200580383181,7.121152605711176e-100,True,-0.1605598390463045,2.9838579966525893e-56,True,0.2144200580383181,0.1605598390463045,9564
koi_max_sngle_ev,-0.19836852439393327,1.8075278165619194e-85,True,-0.23916816289262452,1.6946605013727347e-124,True,0.19836852439393327,0.23916816289262452,9564
koi_steff,-0.18529969026511545,1.2470045127500034e-74,True,-0.1792224734458445,7.380407544249258e-70,True,0.18529969026511545,0.1792224734458445,9564
koi_slogg_err2,0.1810100821056639,3.033059976297236e-71,True,0.223181605491346,2.977544685509777e-108,True,0.1810100821056639,0.223181605491346,9564
koi_ldm_coeff1,0.1783173758064313,3.667552397258841e-69,True,0.21390187015443082,2.170703198384063e-99,True,0.1783173758064313,0.21390187015443082,9564
koi_bin_oedp_sig,0.17824092248428378,4.197794584342417e-69,True,0.09814525790896468,6.572734227527878e-22,True,0.17824092248428378,0.09814525790896468,9564
koi_period_log,0.1781510721814354,4.919357447491536e-69,True,0.21384426252665825,2.4565973542119707e-99,True,0.1781510721814354,0.21384426252665825,9564
koi_sma_log,0.1757475277766417,3.3192218240571926e-67,True,0.2128938542511207,1.8816925959995372e-98,True,0.1757475277766417,0.2128938542511207,9564
koi_smass_err2,0.17461395704600668,2.3690985887541185e-66,True,0.27744603068541507,1.4144255645287315e-168,True,0.17461395704600668,0.27744603068541507,9564
koi_fwm_sra,-0.14844416410033376,2.9677856768022954e-48,True,-0.1452497181733335,2.9699525951733433e-46,True,0.14844416410033376,0.1452497181733335,9564
